total_orders,total_returns,days_to_return_avg,high_value_returns,category_return_ratio,exchange_ratio,location,damaged_returns,device_fingerprint,seasonal_spikes,multi_device,label,user_id
24,8,2.4,5,0.651,0.311,Phoenix,2,Firefox_Android_5135,1,1,1,fraud_000322
9,0,15.2,0,0.328,0.0,Charlotte,0,Edge_Windows_8165,0,0,0,user_003967
37,16,1.0,7,0.173,0.844,Houston,0,Chrome_macOS_2457,1,1,0,edge_000333
15,9,14.0,2,0.848,0.068,Charlotte,3,Safari_Android_5322,1,1,1,fraud_000370
10,3,10.2,0,0.152,0.588,Chicago,0,Firefox_iOS_4042,0,1,0,user_006523
11,1,4.9,0,0.406,0.456,Chicago,0,Chrome_Android_3191,0,1,0,user_008019
10,0,13.4,0,0.46,0.0,New York,0,Edge_iOS_5155,0,0,0,user_000414
10,1,9.4,0,0.432,0.375,San Jose,0,Edge_Windows_7792,1,0,0,user_004662
19,10,1.6,6,0.618,0.089,San Diego,4,Safari_Windows_3305,1,1,1,fraud_000713
6,0,9.3,0,0.702,0.0,Austin,0,Chrome_iOS_4592,0,1,0,user_002523
7,0,14.2,0,0.301,0.0,Los Angeles,0,Edge_Android_9805,0,1,0,user_008327
7,0,21.0,0,0.112,0.0,Fort Worth,0,Edge_Windows_6782,0,0,0,user_007743
5,0,13.4,0,0.124,0.0,New York,0,Chrome_iOS_9010,0,1,0,user_004567
15,1,15.8,0,0.446,0.748,Dallas,0,Edge_iOS_4500,0,1,0,user_006483
33,11,13.8,5,0.028,0.271,Philadelphia,0,Safari_macOS_9140,0,1,0,edge_000168
11,1,3.5,0,0.303,0.446,Dallas,0,Safari_Android_1011,0,0,0,user_001301
12,1,15.6,0,0.177,0.254,Phoenix,0,Chrome_Windows_5658,0,1,0,user_005328
9,1,7.0,0,0.107,0.567,New York,0,Edge_iOS_3557,0,0,0,user_001332
10,1,8.0,0,0.528,0.516,Philadelphia,0,Edge_iOS_6864,0,0,0,user_007784
13,1,9.7,0,0.327,0.807,Dallas,0,Safari_Windows_4900,0,0,0,user_006268
10,3,10.4,0,0.255,0.857,Columbus,0,Edge_Windows_1572,0,1,0,user_005524
8,1,13.2,0,0.108,0.743,San Antonio,0,Edge_iOS_3445,1,1,0,user_001880
29,11,2.3,6,0.099,0.615,Chicago,0,Safari_Android_9783,1,1,0,edge_000283
8,0,13.6,0,0.122,0.0,Jacksonville,0,Chrome_Android_9132,0,0,0,user_007696
4,0,15.0,0,0.029,0.0,Houston,0,Edge_iOS_6851,0,1,0,user_001102
7,2,14.7,0,0.305,0.903,Chicago,0,Edge_Android_1368,1,1,0,user_007997
32,9,21.2,1,0.097,0.855,Chicago,5,Edge_Android_9195,1,1,0,edge_000415
5,0,11.6,0,0.07,0.0,Jacksonville,0,Edge_iOS_5261,0,1,0,user_005846
11,4,14.0,0,0.169,0.511,Houston,0,Safari_iOS_8892,0,1,0,user_005978
7,3,12.3,0,0.216,0.49,San Jose,0,Firefox_Android_8982,0,1,0,user_006714
10,0,10.1,0,0.253,0.0,San Jose,0,Edge_Android_1357,0,0,0,user_007116
13,1,5.5,0,0.119,0.234,Houston,0,Firefox_Windows_5840,0,1,0,user_004007
10,1,13.5,0,0.463,0.324,San Diego,0,Chrome_macOS_3328,1,1,0,user_002041
4,1,9.9,0,0.061,0.308,Chicago,0,Edge_macOS_4114,0,0,0,user_005106
21,10,29.6,6,0.593,0.265,Charlotte,2,Firefox_iOS_5229,1,1,1,fraud_000242
9,2,15.1,0,0.322,0.719,San Antonio,0,Safari_Windows_6362,0,1,0,user_004734
12,1,7.6,0,0.465,0.351,San Diego,0,Edge_macOS_4578,0,1,0,user_007107
20,10,3.8,7,0.88,0.632,Austin,2,Edge_Windows_6513,0,1,1,fraud_000466
41,12,1.3,1,0.474,0.427,Chicago,0,Chrome_iOS_5338,1,1,0,edge_000140
9,0,17.0,0,0.086,0.0,San Diego,0,Firefox_iOS_3173,0,1,0,user_003280
7,1,6.2,0,0.286,0.728,Charlotte,0,Firefox_Windows_5707,0,1,0,user_005107
10,0,4.7,0,0.161,0.0,San Jose,0,Firefox_Android_1152,1,0,0,user_000743
10,1,9.4,0,0.351,0.729,San Antonio,0,Safari_macOS_1697,1,1,0,user_003632
10,0,8.8,0,0.565,0.0,San Diego,0,Edge_iOS_7897,0,1,0,user_001542
11,1,12.0,0,0.23,0.52,Los Angeles,0,Chrome_iOS_8503,0,1,0,user_006482
6,0,2.1,0,0.132,0.0,Phoenix,0,Safari_macOS_8660,0,1,0,user_005661
6,0,17.5,0,0.197,0.0,Chicago,0,Safari_Android_8045,0,1,0,user_005466
6,1,12.0,0,0.334,0.542,Philadelphia,0,Firefox_macOS_2278,1,1,0,user_002760
36,13,11.5,6,0.355,0.886,Columbus,1,Safari_Windows_9624,1,1,0,edge_000668
6,0,13.9,0,0.26,0.0,Philadelphia,0,Safari_macOS_4527,0,0,0,user_000007
18,2,10.6,0,0.373,0.766,Phoenix,0,Safari_iOS_8552,1,1,0,user_007270
6,0,9.1,0,0.138,0.0,Los Angeles,0,Edge_iOS_4085,0,1,0,user_005229
5,1,14.4,0,0.278,0.214,Houston,0,Chrome_macOS_1964,0,0,0,user_007351
5,1,8.8,0,0.418,0.494,San Antonio,0,Firefox_Windows_6658,0,1,0,user_006435
9,2,17.5,0,0.421,0.854,San Antonio,0,Chrome_macOS_5072,0,1,0,user_007770
8,1,16.3,0,0.4,0.537,Los Angeles,0,Edge_Windows_3894,0,0,0,user_005667
7,0,7.8,0,0.223,0.0,San Jose,0,Chrome_macOS_4376,0,1,0,user_000572
8,1,14.7,0,0.284,0.869,San Diego,0,Firefox_Windows_8845,0,1,0,user_007178
7,1,14.8,0,0.257,0.864,Philadelphia,0,Safari_Windows_4924,0,1,0,user_002598
7,1,13.9,0,0.279,0.354,Columbus,0,Chrome_iOS_7903,0,1,0,user_008328
6,0,15.3,0,0.233,0.0,Dallas,0,Chrome_iOS_5490,0,0,0,user_003070
13,0,14.9,0,0.123,0.0,New York,0,Safari_Android_3941,1,1,0,user_003209
3,1,12.8,0,0.134,0.536,Columbus,0,Firefox_Android_2394,0,1,0,user_004687
7,0,16.8,0,0.212,0.0,San Jose,0,Safari_Android_5322,0,1,0,user_005194
34,18,12.0,9,0.13,0.597,Charlotte,0,Edge_macOS_2185,1,1,0,edge_000272
10,0,14.1,0,0.253,0.0,San Antonio,0,Safari_Android_8857,0,1,0,user_008444
6,1,12.8,0,0.433,0.331,Columbus,0,Firefox_Android_2493,1,1,0,user_008301
10,1,7.7,0,0.114,0.588,Austin,0,Firefox_macOS_6258,0,1,0,user_008397
5,0,13.7,0,0.446,0.0,Houston,0,Firefox_iOS_4513,0,0,0,user_004495
4,1,18.3,0,0.263,0.827,Austin,0,Firefox_Windows_9516,0,1,0,user_002008
35,14,9.1,3,0.371,0.778,San Jose,0,Edge_Windows_6629,1,1,0,edge_000341
23,12,22.2,3,0.946,0.161,San Antonio,2,Edge_Windows_6658,1,0,1,fraud_000214
10,2,12.9,0,0.034,0.692,Charlotte,0,Firefox_Android_7882,0,1,0,user_002878
11,2,13.5,0,0.112,0.532,San Antonio,0,Edge_Windows_3121,1,1,0,user_004587
41,19,15.5,5,0.242,0.249,Los Angeles,3,Edge_iOS_7963,1,0,0,edge_000367
8,1,8.9,0,0.456,0.134,Jacksonville,0,Safari_Android_4640,0,1,0,user_004473
8,0,18.2,0,0.529,0.0,Austin,0,Firefox_Windows_8871,1,0,0,user_000503
9,0,11.2,0,0.176,0.0,San Diego,0,Chrome_Android_8536,1,1,0,user_007509
8,0,12.4,0,0.305,0.0,Philadelphia,0,Firefox_iOS_4709,0,1,0,user_005458
18,7,26.1,2,0.749,0.121,Dallas,0,Edge_Android_3196,0,1,1,fraud_000791
10,3,12.7,0,0.101,0.528,Austin,0,Edge_Android_2843,0,1,0,user_004562
9,2,14.3,0,0.485,0.505,Chicago,0,Edge_Android_5786,0,1,0,user_006570
10,0,12.6,0,0.128,0.0,San Antonio,0,Safari_Android_3373,0,1,0,user_001231
16,10,28.6,8,0.6,0.056,Dallas,2,Firefox_Android_3381,0,0,1,fraud_000461
